sheet,sub_table,missing_marker,count,sample_position,suggested_meaning
Records,0,Largest net investment since 2024 Q4,1,C24,Non-numeric token (inspect manually)
Records,0,"£120.6
(2015 Q1)",1,D24,Non-numeric token (inspect manually)
Records,0,"-£156.1
(2012 Q3)",1,E24,Non-numeric token (inspect manually)
Records,0,£0.5,1,B25,Non-numeric token (inspect manually)
Records,0,Largest net investment since 2025 Q3,1,C25,Non-numeric token (inspect manually)
Records,0,"£20.6
(2021 Q3)",1,D25,Non-numeric token (inspect manually)
Records,0,"-£6.3
(2019 Q1)",1,E25,Non-numeric token (inspect manually)
Records,0,-£9.4,1,B26,Non-numeric token (inspect manually)
Records,0,Largest net inflow since 2025 Q3,1,C26,Non-numeric token (inspect manually)
Records,0,"£12.4
(1996 Q3)",1,D26,Non-numeric token (inspect manually)
Records,0,"-£52.1
(2016 Q3)",1,E26,Non-numeric token (inspect manually)
Records,0,-£179.0,1,B30,Non-numeric token (inspect manually)
Records,0,Largest net liability position since 2025 Q3,1,C30,Non-numeric token (inspect manually)
Records,0,"£494.2
(2008 Q4)",1,D30,Non-numeric token (inspect manually)
Records,0,"-£496.2
(2021 Q3)",1,E30,Non-numeric token (inspect manually)
Records,0,-£102.3,1,B31,Non-numeric token (inspect manually)
Records,0,Largest net liability position since 2023 Q4,1,C31,Non-numeric token (inspect manually)
Records,0,"£139.8
(1993 Q4)",1,D31,Non-numeric token (inspect manually)
Records,0,"-£710.2
(2012 Q2)",1,E31,Non-numeric token (inspect manually)
Records,0,-£106.0,1,B32,Non-numeric token (inspect manually)
Records,0,Largest net liability position recorded,1,C32,Non-numeric token (inspect manually)
Records,0,"£145.0
(2013 Q2)",1,D32,Non-numeric token (inspect manually)
Records,0,"-£106.0
(2025 Q4)",1,E32,Non-numeric token (inspect manually)
Records,0,£28.4,1,B33,Non-numeric token (inspect manually)
Records,0,Largest net asset position since 2025 Q1,1,C33,Non-numeric token (inspect manually)
Records,0,"£496.4
(2018 Q4)",1,D33,Non-numeric token (inspect manually)
Records,0,"-£334.6
(2007 Q4)",1,E33,Non-numeric token (inspect manually)
Records,0,£159.1,1,B34,Non-numeric token (inspect manually)
Records,0,Largest net asset position recorded,1,C34,Non-numeric token (inspect manually)
Records,0,"£159.1
(2025 Q4)",1,D34,Non-numeric token (inspect manually)
Records,0,"£1.1
(1970 Q3)",1,E34,Non-numeric token (inspect manually)
Records,0,-£199.8,1,B35,Non-numeric token (inspect manually)
Records,0,Largest net liability position since 2025 Q2,1,C35,Non-numeric token (inspect manually)
Records,0,"£177.0
(2016 Q4)",1,D35,Non-numeric token (inspect manually)
Records,0,"-£484.2
(2021 Q3)",1,E35,Non-numeric token (inspect manually)
Table_A,1,(empty),912,N9,Empty cell - series start before/after data window or non-applicable
Table_A,1,Trade in goods,1,B156,Non-numeric token (inspect manually)
Table_A,1,Trade in services,1,C156,Non-numeric token (inspect manually)
Table_A,1,Total trade,1,D156,Non-numeric token (inspect manually)
Table_A,1,"Primary income,
Compensation of employees",1,E156,Non-numeric token (inspect manually)
Table_A,1,"Primary income,
Investment income",1,F156,Non-numeric token (inspect manually)
Table_A,1,"Primary income,
Other primary income",1,G156,Non-numeric token (inspect manually)
Table_A,1,"Primary income,
Total",1,H156,Non-numeric token (inspect manually)
Table_A,1,"Secondary income,
General government",1,I156,Non-numeric token (inspect manually)
Table_A,1,"Secondary income,
Other sectors",1,J156,Non-numeric token (inspect manually)
Table_A,1,"Secondary income,
Total",1,K156,Non-numeric token (inspect manually)
Table_A,1,Current balance,1,L156,Non-numeric token (inspect manually)
Table_A,1,Capital balance,1,M156,Non-numeric token (inspect manually)
Table_A,2,(empty),917,N158,Empty cell - series start before/after data window or non-applicable
Table_A,2,Direct investment,1,B305,Non-numeric token (inspect manually)
Table_A,2,Portfolio investment,1,C305,Non-numeric token (inspect manually)
Table_A,2,Financial derivatives (net),1,D305,Non-numeric token (inspect manually)
Table_A,2,Other investment,1,E305,Non-numeric token (inspect manually)
Table_A,2,Reserve assets,1,F305,Non-numeric token (inspect manually)
Table_A,2,Net financial transactions,1,G305,Non-numeric token (inspect manually)
Table_A,2,Net errors and omissions [note 2],1,H305,Non-numeric token (inspect manually)
Table_A,3,(empty),1595,I307,Empty cell - series start before/after data window or non-applicable
Table_B,1,(empty),22,B154,Empty cell - series start before/after data window or non-applicable
Table_B,1,Imports of goods,1,B156,Non-numeric token (inspect manually)
Table_B,1,Imports of services,1,C156,Non-numeric token (inspect manually)
Table_B,1,Total imports,1,D156,Non-numeric token (inspect manually)
Table_B,1,"Primary income,
Compensation of employees",1,E156,Non-numeric token (inspect manually)
Table_B,1,"Primary income,
Investment income",1,F156,Non-numeric token (inspect manually)
Table_B,1,"Primary income,
Other primary income",1,G156,Non-numeric token (inspect manually)
Table_B,1,"Primary income,
Total",1,H156,Non-numeric token (inspect manually)
Table_B,1,"Secondary income,
Central government",1,I156,Non-numeric token (inspect manually)
Table_B,1,"Secondary income,
Other sectors",1,J156,Non-numeric token (inspect manually)
Table_B,1,"Secondary income,
Total",1,K156,Non-numeric token (inspect manually)
Table_B,1,Total debits,1,L156,Non-numeric token (inspect manually)
Table_B,2,(empty),22,B303,Empty cell - series start before/after data window or non-applicable
Table_B,2,Trade in goods,1,B305,Non-numeric token (inspect manually)
Table_B,2,Trade in services,1,C305,Non-numeric token (inspect manually)
Table_B,2,Trade total,1,D305,Non-numeric token (inspect manually)
Table_B,2,"Primary income,
Compensation of employees",1,E305,Non-numeric token (inspect manually)
Table_B,2,"Primary income,
Investment income",1,F305,Non-numeric token (inspect manually)
Table_B,2,"Primary income,
Other primary income",1,G305,Non-numeric token (inspect manually)
Table_B,2,"Primary income,
Total",1,H305,Non-numeric token (inspect manually)
Table_B,2,"Secondary income,
Central government",1,I305,Non-numeric token (inspect manually)
Table_B,2,"Secondary income,
Other sectors",1,J305,Non-numeric token (inspect manually)
Table_B,2,"Secondary income, 
Total",1,K305,Non-numeric token (inspect manually)
Table_B,2,Current balance,1,L305,Non-numeric token (inspect manually)
Table_B,3,(empty),27,B452,Empty cell - series start before/after data window or non-applicable
Table_B,3,Trade in goods,1,B454,Non-numeric token (inspect manually)
Table_B,3,Trade in services,1,C454,Non-numeric token (inspect manually)
Table_B,3,"Trade, Total",1,D454,Non-numeric token (inspect manually)
Table_B,3,"Primary income, 
Total",1,E454,Non-numeric token (inspect manually)
Table_B,3,"Secondary income,
Total",1,F454,Non-numeric token (inspect manually)
Table_B,3,Current balance,1,G454,Non-numeric token (inspect manually)
Table_B,4,(empty),725,H456,Empty cell - series start before/after data window or non-applicable
Table_BX,1,(empty),22,B154,Empty cell - series start before/after data window or non-applicable
Table_BX,1,"Imports of goods,
excl. precious metals",1,B156,Non-numeric token (inspect manually)
Table_BX,1,Imports of services,1,C156,Non-numeric token (inspect manually)
Table_BX,1,"Total imports,
excl. precious metals",1,D156,Non-numeric token (inspect manually)
Table_BX,1,"Primary income,
Compensation of employees",1,E156,Non-numeric token (inspect manually)
Table_BX,1,"Primary income,
Investment income",1,F156,Non-numeric token (inspect manually)
Table_BX,1,"Primary income,
Other primary income",1,G156,Non-numeric token (inspect manually)
Table_BX,1,"Primary income,
Total",1,H156,Non-numeric token (inspect manually)
Table_BX,1,"Secondary income,
Central government",1,I156,Non-numeric token (inspect manually)
Table_BX,1,"Secondary income,
Other sectors",1,J156,Non-numeric token (inspect manually)
Table_BX,1,"Secondary income,
Total",1,K156,Non-numeric token (inspect manually)
Table_BX,1,"Total debits,
excl. precious metals",1,L156,Non-numeric token (inspect manually)
Table_BX,2,(empty),22,B303,Empty cell - series start before/after data window or non-applicable
Table_BX,2,"Trade in goods,
excl. precious metals",1,B305,Non-numeric token (inspect manually)
Table_BX,2,Trade in services,1,C305,Non-numeric token (inspect manually)
Table_BX,2,"Trade total,
excl. precious metals",1,D305,Non-numeric token (inspect manually)
Table_BX,2,"Primary income,
Compensation of employees",1,E305,Non-numeric token (inspect manually)
Table_BX,2,"Primary income,
Investment income",1,F305,Non-numeric token (inspect manually)
Table_BX,2,"Primary income,
Other primary income",1,G305,Non-numeric token (inspect manually)
Table_BX,2,"Primary income,
Total",1,H305,Non-numeric token (inspect manually)
Table_BX,2,"Secondary income,
Central government",1,I305,Non-numeric token (inspect manually)
Table_BX,2,"Secondary income,
Other sectors",1,J305,Non-numeric token (inspect manually)
Table_BX,2,"Secondary income,
Total",1,K305,Non-numeric token (inspect manually)
Table_BX,2,"Current balance,
excl. precious metals",1,L305,Non-numeric token (inspect manually)
Table_BX,3,(empty),27,B452,Empty cell - series start before/after data window or non-applicable
Table_BX,3,"Trade in goods,
excl. precious metals",1,B454,Non-numeric token (inspect manually)
Table_BX,3,Trade in services,1,C454,Non-numeric token (inspect manually)
Table_BX,3,"Total trade,
excl. precious metals",1,D454,Non-numeric token (inspect manually)
Table_BX,3,"Primary income, 
Total",1,E454,Non-numeric token (inspect manually)
Table_BX,3,"Secondary income,
Total",1,F454,Non-numeric token (inspect manually)
Table_BX,3,"Current balance,
excl. precious metals",1,G454,Non-numeric token (inspect manually)
Table_BX,4,(empty),725,H456,Empty cell - series start before/after data window or non-applicable
Table_C,1,(empty),1936,H9,Empty cell - series start before/after data window or non-applicable
Table_C,1,x,60,B9,ONS confidential / suppressed (not released; cf Service Manual [c])
Table_C,1,Imports of goods,1,B156,Non-numeric token (inspect manually)
Table_C,1,Imports of services,1,C156,Non-numeric token (inspect manually)
Table_C,1,Total imports,1,D156,Non-numeric token (inspect manually)
Table_C,1,"Primary income,
debits",1,E156,Non-numeric token (inspect manually)
Table_C,1,"Secondary income,
debits",1,F156,Non-numeric token (inspect manually)
Table_C,1,Total debits,1,G156,Non-numeric token (inspect manually)
Table_C,2,(empty),1936,H158,Empty cell - series start before/after data window or non-applicable
Table_C,2,x,60,B158,ONS confidential / suppressed (not released; cf Service Manual [c])
Table_C,2,Trade in goods,1,B305,Non-numeric token (inspect manually)
Table_C,2,Trade in services,1,C305,Non-numeric token (inspect manually)
Table_C,2,Total trade,1,D305,Non-numeric token (inspect manually)
Table_C,2,"Primary income,
balance",1,E305,Non-numeric token (inspect manually)
Table_C,2,"Secondary income,
balance",1,F305,Non-numeric token (inspect manually)
Table_C,2,Total balance,1,G305,Non-numeric token (inspect manually)
Table_C,3,(empty),1936,H307,Empty cell - series start before/after data window or non-applicable
Table_C,3,x,60,B307,ONS confidential / suppressed (not released; cf Service Manual [c])
Table_C,3,Exports of goods,1,B454,Non-numeric token (inspect manually)
Table_C,3,Exports of services,1,C454,Non-numeric token (inspect manually)
Table_C,3,Total exports,1,D454,Non-numeric token (inspect manually)
Table_C,3,"Primary income,
credits",1,E454,Non-numeric token (inspect manually)
Table_C,3,"Secondary income,
credits",1,F454,Non-numeric token (inspect manually)
Table_C,3,Total credits,1,G454,Non-numeric token (inspect manually)
Table_C,4,(empty),1936,H456,Empty cell - series start before/after data window or non-applicable
Table_C,4,x,60,B456,ONS confidential / suppressed (not released; cf Service Manual [c])
Table_C,4,Imports of goods,1,B603,Non-numeric token (inspect manually)
Table_C,4,Imports of services,1,C603,Non-numeric token (inspect manually)
Table_C,4,Total imports,1,D603,Non-numeric token (inspect manually)
Table_C,4,"Primary income,
debits",1,E603,Non-numeric token (inspect manually)
Table_C,4,"Secondary income,
debits",1,F603,Non-numeric token (inspect manually)
Table_C,4,Total debits,1,G603,Non-numeric token (inspect manually)
Table_C,5,(empty),1936,H605,Empty cell - series start before/after data window or non-applicable
Table_C,5,x,60,B605,ONS confidential / suppressed (not released; cf Service Manual [c])
Table_C,5,Trade in goods,1,B752,Non-numeric token (inspect manually)
Table_C,5,Trade in services,1,C752,Non-numeric token (inspect manually)
Table_C,5,Total trade,1,D752,Non-numeric token (inspect manually)
Table_C,5,"Primary income,
balance",1,E752,Non-numeric token (inspect manually)
Table_C,5,"Secondary income,
balance",1,F752,Non-numeric token (inspect manually)
Table_C,5,Total balance,1,G752,Non-numeric token (inspect manually)
Table_C,6,(empty),1885,H754,Empty cell - series start before/after data window or non-applicable
Table_C,6,x,60,B754,ONS confidential / suppressed (not released; cf Service Manual [c])
Table_D1_3,1,(empty),900,H9,Empty cell - series start before/after data window or non-applicable
Table_D1_3,1,"Financial account transactions,
Direct investment",1,B156,Non-numeric token (inspect manually)
Table_D1_3,1,"Financial account transactions,
Portfolio investment",1,C156,Non-numeric token (inspect manually)
Table_D1_3,1,"Financial account transactions,
Financial derivatives (net)",1,D156,Non-numeric token (inspect manually)
Table_D1_3,1,"Financial account transactions,
Other investment",1,E156,Non-numeric token (inspect manually)
Table_D1_3,1,"Financial account transactions,
Reserve assets",1,F156,Non-numeric token (inspect manually)
Table_D1_3,1,"Financial account transactions,
Total",1,G156,Non-numeric token (inspect manually)
Table_D1_3,2,(empty),901,H158,Empty cell - series start before/after data window or non-applicable
Table_D1_3,2,"Investment income earnings,
Direct investment",1,B305,Non-numeric token (inspect manually)
Table_D1_3,2,"Investment income earnings,
Portfolio investment",1,C305,Non-numeric token (inspect manually)
Table_D1_3,2,"Investment income earnings,
Other investment",1,D305,Non-numeric token (inspect manually)
Table_D1_3,2,"Investment income earnings,
Reserve assets",1,E305,Non-numeric token (inspect manually)
Table_D1_3,2,"Investment income earnings,
Total",1,F305,Non-numeric token (inspect manually)
Table_D1_3,3,(empty),1015,G307,Empty cell - series start before/after data window or non-applicable
Table_D4_6,1,(empty),751,G9,Empty cell - series start before/after data window or non-applicable
Table_D4_6,1,"Financial account transactions,
Direct investment",1,B156,Non-numeric token (inspect manually)
Table_D4_6,1,"Financial account transactions,
Portfolio investment",1,C156,Non-numeric token (inspect manually)
Table_D4_6,1,"Financial account transactions,
Other investment",1,D156,Non-numeric token (inspect manually)
Table_D4_6,1,"Financial account transactions,
Total",1,E156,Non-numeric token (inspect manually)
Table_D4_6,2,(empty),896,F158,Empty cell - series start before/after data window or non-applicable
Table_D4_6,2,"Investment income earnings,
Direct investment",1,B305,Non-numeric token (inspect manually)
Table_D4_6,2,"Investment income earnings,
Portfolio investment",1,C305,Non-numeric token (inspect manually)
Table_D4_6,2,"Investment income earnings,
Other investment",1,D305,Non-numeric token (inspect manually)
Table_D4_6,2,"Investment income earnings,
Total",1,E305,Non-numeric token (inspect manually)
Table_D4_6,3,(empty),870,F307,Empty cell - series start before/after data window or non-applicable
Table_D7_9,1,(empty),900,H9,Empty cell - series start before/after data window or non-applicable
Table_D7_9,1,"Financial account transactions,
Direct investment",1,B156,Non-numeric token (inspect manually)
Table_D7_9,1,"Financial account transactions,
Portfolio investment",1,C156,Non-numeric token (inspect manually)
Table_D7_9,1,"Financial account transactions,
Financial derivatives",1,D156,Non-numeric token (inspect manually)
Table_D7_9,1,"Financial account transactions,
Other investment",1,E156,Non-numeric token (inspect manually)
Table_D7_9,1,"Financial account transactions,
Reserve assets",1,F156,Non-numeric token (inspect manually)
Table_D7_9,1,"Financial account transactions,
Net transaction",1,G156,Non-numeric token (inspect manually)
Table_D7_9,2,(empty),901,H158,Empty cell - series start before/after data window or non-applicable
Table_D7_9,2,"Investment income earnings,
Direct investment",1,B305,Non-numeric token (inspect manually)
Table_D7_9,2,"Investment income earnings,
Portfolio investment",1,C305,Non-numeric token (inspect manually)
Table_D7_9,2,"Investment income earnings,
Other investment",1,D305,Non-numeric token (inspect manually)
Table_D7_9,2,"Investment income earnings,
Reserve assets",1,E305,Non-numeric token (inspect manually)
Table_D7_9,2,"Investment income earnings,
Net earnings",1,F305,Non-numeric token (inspect manually)
Table_D7_9,3,(empty),1015,G307,Empty cell - series start before/after data window or non-applicable
Table_E,1,(empty),16,B154,Empty cell - series start before/after data window or non-applicable
Table_E,1,"Food, beverages and tobacco",1,B156,Non-numeric token (inspect manually)
Table_E,1,Basic materials,1,C156,Non-numeric token (inspect manually)
Table_E,1,Oil,1,D156,Non-numeric token (inspect manually)
Table_E,1,Other fuels,1,E156,Non-numeric token (inspect manually)
Table_E,1,Semi-manufactured goods,1,F156,Non-numeric token (inspect manually)
Table_E,1,Finished manufactured goods,1,G156,Non-numeric token (inspect manually)
Table_E,1,Unspecified goods,1,H156,Non-numeric token (inspect manually)
Table_E,1,Total goods imports,1,I156,Non-numeric token (inspect manually)
Table_E,2,(empty),16,B303,Empty cell - series start before/after data window or non-applicable
Table_E,2,"Food, beverages and tobacco",1,B305,Non-numeric token (inspect manually)
Table_E,2,Basic materials,1,C305,Non-numeric token (inspect manually)
Table_E,2,Oil,1,D305,Non-numeric token (inspect manually)
Table_E,2,Other fuels,1,E305,Non-numeric token (inspect manually)
Table_E,2,Semi-manufactured goods,1,F305,Non-numeric token (inspect manually)
Table_E,2,Finished manufactured goods,1,G305,Non-numeric token (inspect manually)
Table_E,2,Unspecified goods,1,H305,Non-numeric token (inspect manually)
Table_E,2,Total goods balance,1,I305,Non-numeric token (inspect manually)
Table_F,1,(empty),24,B154,Empty cell - series start before/after data window or non-applicable
Table_F,1,Manufacturing and maintenance services,1,B156,Non-numeric token (inspect manually)
Table_F,1,Transport,1,C156,Non-numeric token (inspect manually)
Table_F,1,Travel,1,D156,Non-numeric token (inspect manually)
Table_F,1,Construction,1,E156,Non-numeric token (inspect manually)
Table_F,1,Insurance and pension services,1,F156,Non-numeric token (inspect manually)
Table_F,1,Financial,1,G156,Non-numeric token (inspect manually)
Table_F,1,Intellectual property,1,H156,Non-numeric token (inspect manually)
Table_F,1,"Telecommunication, computer and information services",1,I156,Non-numeric token (inspect manually)
Table_F,1,Other business,1,J156,Non-numeric token (inspect manually)
Table_F,1,"Personal, cultural and recreational services",1,K156,Non-numeric token (inspect manually)
Table_F,1,Government,1,L156,Non-numeric token (inspect manually)
Table_F,1,Total services imports,1,M156,Non-numeric token (inspect manually)
Table_F,2,(empty),24,B303,Empty cell - series start before/after data window or non-applicable
Table_F,2,Manufacturing and maintenance services,1,B305,Non-numeric token (inspect manually)
Table_F,2,Transport,1,C305,Non-numeric token (inspect manually)
Table_F,2,Travel,1,D305,Non-numeric token (inspect manually)
Table_F,2,Construction,1,E305,Non-numeric token (inspect manually)
Table_F,2,Insurance and pension services,1,F305,Non-numeric token (inspect manually)
Table_F,2,Financial,1,G305,Non-numeric token (inspect manually)
Table_F,2,Intellectual property,1,H305,Non-numeric token (inspect manually)
Table_F,2,"Telecommunication, computer and information services",1,I305,Non-numeric token (inspect manually)
Table_F,2,Other business,1,J305,Non-numeric token (inspect manually)
Table_F,2,"Personal, cultural and recreational services",1,K305,Non-numeric token (inspect manually)
Table_F,2,Government,1,L305,Non-numeric token (inspect manually)
Table_F,2,Total services balance,1,M305,Non-numeric token (inspect manually)
Table_G,1,(empty),21,B154,Empty cell - series start before/after data window or non-applicable
Table_G,1,Compensation of employees,1,B156,Non-numeric token (inspect manually)
Table_G,1,"Investment income,
Foreign earnings on direct investment in the UK",1,C156,Non-numeric token (inspect manually)
Table_G,1,"Investment income,
Foreign earnings on portfolio investment in the UK,
Equity securities",1,D156,Non-numeric token (inspect manually)
Table_G,1,"Investment income,
Foreign earnings on portfolio investment in the UK,
Debt securities",1,E156,Non-numeric token (inspect manually)
Table_G,1,"Investment income,
Foreign earnings on portfolio investment in the UK,
Total",1,F156,Non-numeric token (inspect manually)
Table_G,1,"Investment income,
Earnings on other investment in the UK",1,G156,Non-numeric token (inspect manually)
Table_G,1,"Investment income,
Total",1,H156,Non-numeric token (inspect manually)
Table_G,1,Other primary income,1,I156,Non-numeric token (inspect manually)
Table_G,1,Total debits,1,J156,Non-numeric token (inspect manually)
Table_G,2,(empty),165,K158,Empty cell - series start before/after data window or non-applicable
Table_G,2,Compensation of employees,1,B305,Non-numeric token (inspect manually)
