sheet,sub_table,column_position,column_label,cdid,sign_prefix,unit,table_code,classification,notes,item_code1,item_code2,item_code3,ko_name,ko_definition,source
Table_A,1,12,Current balance,HBOP,false,GBP million,A,summary,,HBOP,CA,CA.TOT,경상수지 합계,경상수지 합계 — 강의 슬라이드 14 항등식 CA = 상품수지 + 서비스수지 + 1차소득 + 2차소득의 좌변.,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,1,13,Capital balance,FNVQ,false,GBP million,A,summary,,FNVQ,CA,KA.KA_TOT,자본수지 합계,자본수지 합계 — 자본이전 + 비생산비금융자산 취득·처분(강의 슬라이드 5·7·14).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,2,2,Trade in goods,LQCT,false,GBP million,A,summary,,LQCT,CA,,상품무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,3,Trade in services,KTMS,false,GBP million,A,summary,,KTMS,CA,,서비스무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,4,Total trade,KTMY,false,GBP million,A,summary,,KTMY,CA,,상품·서비스 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,5,"Primary income, Compensation of employees",KTMP,false,GBP million,A,summary,,KTMP,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,6,"Primary income, Investment income",HMBM,false,GBP million,A,summary,,HMBM,CA,,1차소득 - 투자소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,7,"Primary income, Other primary income",MT5W,false,GBP million,A,summary,,MT5W,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,8,"Primary income, Total",HMBP,false,GBP million,A,summary,,HMBP,CA,,1차소득 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,9,"Secondary income, General government",FJUQ,false,GBP million,A,summary,,FJUQ,CA,,2차소득 - 일반정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,10,"Secondary income, Other sectors",FJUR,false,GBP million,A,summary,,FJUR,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,11,"Secondary income, Total",KTNF,false,GBP million,A,summary,,KTNF,CA,,2차소득 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,2,12,Current balance,HBOG,false,GBP million,A,summary,,HBOG,CA,CA.TOT,경상수지 합계,경상수지 합계 — 강의 슬라이드 14 항등식 CA = 상품수지 + 서비스수지 + 1차소득 + 2차소득의 좌변.,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,2,13,Capital balance,FKMJ,false,GBP million,A,summary,,FKMJ,CA,CA.TOT,자본수지 합계,경상수지 합계 — 강의 슬라이드 14 항등식 CA = 상품수지 + 서비스수지 + 1차소득 + 2차소득의 좌변.,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,3,2,Direct investment,MU7M,true,GBP million,A,summary,,-MU7M,FA,FA.DI.DI_TOT,직접투자,"직접투자 합계 — 외국기업 경영참가 목적 투자(강의 슬라이드 6, OECD BD4 기준).",강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,3,3,Portfolio investment,HHZD,true,GBP million,A,summary,,-HHZD,FA,FA.PIF.PIF_TOT,증권투자,증권투자 합계 — 주식·채권 등 증권 거래(강의 슬라이드 6).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,3,4,Financial derivatives (net),ZPNN,true,GBP million,A,summary,,-ZPNN,FA,FA.FD.FD_NET,파생금융상품(순),파생금융상품(순) — 강의 슬라이드 6·14의 net financial derivatives 항.,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,3,5,Other investment,HHYR,true,GBP million,A,summary,,-HHYR,FA,FA.OI.OI_TOT,기타투자,기타투자 합계 — 대출·차입·무역신용·예금 등(강의 슬라이드 6).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,3,6,Reserve assets,LTCV,true,GBP million,A,summary,,-LTCV,FA,FA.IR.IR_TOT,준비자산,준비자산 합계 — 통화당국 보유 외환·금·SDR(강의 슬라이드 6·12).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,3,7,Net financial transactions,HBNT,true,GBP million,A,summary,,-HBNT,FA,FA.FA_TOT,국제수지 요약,금융계정 합계(broad) — 강의 슬라이드 14 식 FA = NAFA - NIL + Net derivatives.,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,3,8,Net errors and omissions [note 2],HHDH,false,GBP million,A,summary,,HHDH,FA,NEO.NEO,국제수지 요약,오차 및 누락(NEO) — 통계 불일치 보정(강의 슬라이드 6·13·14).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,1,2,Exports of goods,BOKG,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,BOKG,CA,CA.G.G_TOT,경상수지 본표,상품수지 합계 — 재화의 수출입 차액(강의 슬라이드 5·21).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,1,3,Exports of services,IKBB,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBB,CA,CA.S.S_TOT,경상수지 본표,서비스수지 합계 — EBOPS 12분류 서비스 거래의 합산(강의 슬라이드 5).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,1,4,Total exports,IKBH,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBH,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,1,5,"Primary income, Compensation of employees",IJAH,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IJAH,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,1,6,"Primary income, Investment income",HBOK,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,HBOK,CA,CA.PI.PI_INV_TOT,1차소득 - 투자소득,투자소득 합계 — 직접·증권·기타·준비자산 투자에서 발생한 소득 합산(강의 슬라이드 25).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,1,7,"Primary income, Other primary income",MT5T,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,MT5T,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,1,8,"Primary income, Total",HBOH,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,HBOH,CA,CA.PI.PI_TOT,1차소득 합계,1차소득 합계 — 노동소득·투자소득·기타 1차소득 합산(강의 슬라이드 5·9).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,1,9,"Secondary income, Central government",FHDM,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FHDM,CA,,2차소득 - 중앙정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,1,10,"Secondary income, Other sectors",FHIB,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FHIB,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,1,11,"Secondary income, Total",IKBN,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBN,CA,CA.SI.SI_TOT,2차소득 합계,2차소득 합계 — 정부·기타부문의 이전소득 합산(강의 슬라이드 5·14).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,1,12,Total credits,HBON,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,HBON,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,2,2,Imports of goods,BOKH,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,BOKH,CA,CA.G.G_TOT,경상수지 본표,상품수지 합계 — 재화의 수출입 차액(강의 슬라이드 5·21).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,2,3,Imports of services,IKBC,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBC,CA,CA.S.S_TOT,경상수지 본표,서비스수지 합계 — EBOPS 12분류 서비스 거래의 합산(강의 슬라이드 5).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,2,4,Total imports,IKBI,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBI,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,2,5,"Primary income, Compensation of employees",IJAI,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IJAI,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,2,6,"Primary income, Investment income",HBOL,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,HBOL,CA,CA.PI.PI_INV_TOT,1차소득 - 투자소득,투자소득 합계 — 직접·증권·기타·준비자산 투자에서 발생한 소득 합산(강의 슬라이드 25).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,2,7,"Primary income, Other primary income",MT5V,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,MT5V,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,2,8,"Primary income, Total",HBOI,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,HBOI,CA,CA.PI.PI_TOT,1차소득 합계,1차소득 합계 — 노동소득·투자소득·기타 1차소득 합산(강의 슬라이드 5·9).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,2,9,"Secondary income, Central government",FLUD,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FLUD,CA,,2차소득 - 중앙정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,2,10,"Secondary income, Other sectors",FLUZ,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FLUZ,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,2,11,"Secondary income, Total",IKBO,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBO,CA,CA.SI.SI_TOT,2차소득 합계,2차소득 합계 — 정부·기타부문의 이전소득 합산(강의 슬라이드 5·14).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,2,12,Total debits,HBOO,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,HBOO,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,3,2,Trade in goods,BOKI,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,BOKI,CA,CA.G.G_TOT,상품무역,상품수지 합계 — 재화의 수출입 차액(강의 슬라이드 5·21).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,3,3,Trade in services,IKBD,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBD,CA,CA.S.S_TOT,서비스무역,서비스수지 합계 — EBOPS 12분류 서비스 거래의 합산(강의 슬라이드 5).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,3,4,Trade total,IKBJ,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBJ,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,3,5,"Primary income, Compensation of employees",IJAJ,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IJAJ,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,3,6,"Primary income, Investment income",HBOM,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,HBOM,CA,CA.PI.PI_INV_TOT,1차소득 - 투자소득,투자소득 합계 — 직접·증권·기타·준비자산 투자에서 발생한 소득 합산(강의 슬라이드 25).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,3,7,"Primary income, Other primary income",MT5X,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,MT5X,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,3,8,"Primary income, Total",HBOJ,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,HBOJ,CA,CA.PI.PI_TOT,1차소득 합계,1차소득 합계 — 노동소득·투자소득·기타 1차소득 합산(강의 슬라이드 5·9).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,3,9,"Secondary income, Central government",FNSV,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FNSV,CA,,2차소득 - 중앙정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,3,10,"Secondary income, Other sectors",FNTC,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,FNTC,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,3,11,"Secondary income,  Total",IKBP,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,IKBP,CA,CA.SI.SI_TOT,2차소득,2차소득 합계 — 정부·기타부문의 이전소득 합산(강의 슬라이드 5·14).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,3,12,Current balance,HBOP,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,HBOP,CA,CA.TOT,경상수지 합계,경상수지 합계 — 강의 슬라이드 14 항등식 CA = 상품수지 + 서비스수지 + 1차소득 + 2차소득의 좌변.,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_B,4,2,Trade in goods,D28J,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,D28J,CA,,상품무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,4,3,Trade in services,D28K,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,D28K,CA,,서비스무역,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,4,4,"Trade, Total",D28L,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,D28L,CA,,경상수지 본표,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,4,5,"Primary income,  Total",D28M,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,D28M,CA,,1차소득,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,4,6,"Secondary income, Total",D28N,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,D28N,CA,,2차소득 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_B,4,7,Current balance,AA6H,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP,AA6H,CA,,경상수지 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·26(EBOPS 12분류 서비스 + SITC 상품·BPM6 §10 Goods)
Table_BX,1,2,"Exports of goods, excl. precious metals",FUS7,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUS7,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,3,Exports of services,IKBB,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,IKBB,CA,CA.S.S_TOT,경상수지 본표(귀금속 제외),서비스수지 합계 — EBOPS 12분류 서비스 거래의 합산(강의 슬라이드 5).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_BX,1,4,"Total exports, excl. precious metals",FUS8,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUS8,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,5,"Primary income, Compensation of employees",IJAH,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,IJAH,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,6,"Primary income, Investment income",HBOK,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,HBOK,CA,CA.PI.PI_INV_TOT,1차소득 - 투자소득,투자소득 합계 — 직접·증권·기타·준비자산 투자에서 발생한 소득 합산(강의 슬라이드 25).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_BX,1,7,"Primary income, Other primary income",MT5T,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,MT5T,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,8,"Primary income, Total",HBOH,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,HBOH,CA,CA.PI.PI_TOT,1차소득 합계,1차소득 합계 — 노동소득·투자소득·기타 1차소득 합산(강의 슬라이드 5·9).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_BX,1,9,"Secondary income, Central government",FHDM,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FHDM,CA,,2차소득 - 중앙정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,10,"Secondary income, Other sectors",FHIB,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FHIB,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,1,11,"Secondary income, Total",IKBN,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,IKBN,CA,CA.SI.SI_TOT,2차소득 합계,2차소득 합계 — 정부·기타부문의 이전소득 합산(강의 슬라이드 5·14).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_BX,1,12,"Total credits, excl. precious metals",FUS9,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUS9,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,2,"Imports of goods, excl. precious metals",FUT2,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUT2,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,3,Imports of services,IKBC,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,IKBC,CA,CA.S.S_TOT,경상수지 본표(귀금속 제외),서비스수지 합계 — EBOPS 12분류 서비스 거래의 합산(강의 슬라이드 5).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_BX,2,4,"Total imports, excl. precious metals",FUT3,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FUT3,CA,,경상수지 본표(귀금속 제외),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,5,"Primary income, Compensation of employees",IJAI,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,IJAI,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,6,"Primary income, Investment income",HBOL,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,HBOL,CA,CA.PI.PI_INV_TOT,1차소득 - 투자소득,투자소득 합계 — 직접·증권·기타·준비자산 투자에서 발생한 소득 합산(강의 슬라이드 25).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_BX,2,7,"Primary income, Other primary income",MT5V,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,MT5V,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,8,"Primary income, Total",HBOI,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,HBOI,CA,CA.PI.PI_TOT,1차소득 합계,1차소득 합계 — 노동소득·투자소득·기타 1차소득 합산(강의 슬라이드 5·9).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_BX,2,9,"Secondary income, Central government",FLUD,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FLUD,CA,,2차소득 - 중앙정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
Table_BX,2,10,"Secondary income, Other sectors",FLUZ,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP,FLUZ,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/26(SITC + BPM6 비통화용 금 §10.13~§10.16)
