time_period,boki,ikbd,ikbj,ijaj,hbom,mt5x,hboj,fnsv,fntc,ikbp,hbop
2021Q3,0,0,0,0,0,0,0,0,0,0,0
2021Q4,0,0,0,0,0,0,0,0,0,0,0
2022Q1,0,0,0,0,0,0,0,0,0,0,0
2022Q2,0,0,0,0,0,0,0,0,0,0,0
2022Q3,0,0,0,0,0,0,0,0,0,0,0
2022Q4,0,0,0,0,0,0,0,0,0,0,0
2023Q1,0,0,0,0,0,0,0,0,0,0,0
2023Q2,0,0,0,0,0,0,0,0,0,0,0
2023Q3,0,0,0,0,0,0,0,0,0,0,0
2023Q4,0,0,0,0,0,0,0,0,0,0,0
2024Q1,277,-334,-57,15,-52,0,-37,58,-13,45,-49
2024Q2,338,641,979,10,-34,0,-24,26,-22,4,959
2024Q3,1526,-587,939,-2,670,0,668,47,-39,8,1615
2024Q4,-1260,-26,-1286,-23,-611,0,-634,-131,-49,-180,-2100
2025Q1,-556,626,70,25,619,0,644,91,-71,20,734
2025Q2,-2786,539,-2247,6,206,0,212,49,-74,-25,-2060
2025Q3,-423,703,280,-9,1124,0,1115,91,-108,-17,1378
