time_period,bokg,ikbb,ikbh,ijah,hbok,mt5t,hboh,fhdm,fhib,ikbn,hbon
2021Q3,0,0,0,0,0,0,0,0,0,0,0
2021Q4,0,0,0,0,0,0,0,0,0,0,0
2022Q1,0,0,0,0,0,0,0,0,0,0,0
2022Q2,0,0,0,0,0,0,0,0,0,0,0
2022Q3,0,0,0,0,0,0,0,0,0,0,0
2022Q4,0,0,0,0,0,0,0,0,0,0,0
2023Q1,0,0,0,0,0,0,0,0,0,0,0
2023Q2,0,0,0,0,0,0,0,0,0,0,0
2023Q3,0,0,0,0,0,0,0,0,0,0,0
2023Q4,0,0,0,0,0,0,0,0,0,0,0
2024Q1,-252,-152,-404,15,5,0,20,-2,-11,-13,-397
2024Q2,109,482,591,10,41,0,51,0,-21,-21,621
2024Q3,1646,-302,1344,-2,164,0,162,0,-38,-38,1468
2024Q4,-1446,-30,-1476,-23,-161,0,-184,2,-53,-51,-1711
2025Q1,113,160,273,45,944,0,989,8,-62,-54,1208
2025Q2,-2724,221,-2503,23,1027,0,1050,10,-70,-60,-1513
2025Q3,741,-97,644,16,1011,0,1027,12,-98,-86,1585
