time_period,bokh,ikbc,ikbi,ijai,hbol,mt5v,hboi,flud,fluz,ikbo,hboo
2021Q3,0,0,0,0,0,0,0,0,0,0,0
2021Q4,0,0,0,0,0,0,0,0,0,0,0
2022Q1,0,0,0,0,0,0,0,0,0,0,0
2022Q2,0,0,0,0,0,0,0,0,0,0,0
2022Q3,0,0,0,0,0,0,0,0,0,0,0
2022Q4,0,0,0,0,0,0,0,0,0,0,0
2023Q1,0,0,0,0,0,0,0,0,0,0,0
2023Q2,0,0,0,0,0,0,0,0,0,0,0
2023Q3,0,0,0,0,0,0,0,0,0,0,0
2023Q4,0,0,0,0,0,0,0,0,0,0,0
2024Q1,-529,182,-347,0,57,0,57,-60,2,-58,-348
2024Q2,-229,-159,-388,0,75,0,75,-26,1,-25,-338
2024Q3,120,285,405,0,-506,0,-506,-47,1,-46,-147
2024Q4,-186,-4,-190,0,450,0,450,133,-4,129,389
2025Q1,669,-466,203,20,325,0,345,-83,9,-74,474
2025Q2,62,-318,-256,17,821,0,838,-39,4,-35,547
2025Q3,1164,-800,364,25,-113,0,-88,-79,10,-69,207
